Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,34,168,0.000000,20,176,0.000000,50,95
Sample02,0.000000,21,90,0.000000,24,184,0.000000,53,94
Sample03,0.000000,22,96,0.000000,25,186,0.000000,52,89
Sample04,0.000000,30,144,0.000000,22,180,0.000000,53,98
Sample05,0.000000,28,132,0.000000,24,184,0.000000,52,89
Sample06,0.000000,42,216,0.000000,21,178,0.000000,47,84
Sample07,0.000000,34,168,0.000000,22,180,0.000000,48,93
Sample08,0.000000,35,174,0.000000,23,182,0.000000,53,94
Sample09,0.000000,28,132,0.000000,23,182,0.000000,50,87
Sample10,0.000000,27,126,0.000000,23,182,0.000000,51,84
