Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,33,162,0.000000,22,180,0.000000,46,87
Sample02,0.000000,23,102,0.000000,22,180,0.000000,54,103
Sample03,0.000000,38,192,0.000000,21,178,0.000000,61,98
Sample04,0.000000,32,156,0.000000,24,184,0.000000,49,86
Sample05,0.000000,29,138,0.000000,23,182,0.000000,56,97
Sample06,0.000000,27,126,0.000000,22,180,0.000000,45,78
Sample07,0.000000,35,174,0.000000,24,184,0.000000,52,93
Sample08,0.000000,37,186,0.000000,22,180,0.000000,48,81
Sample09,0.000000,39,198,0.000000,22,180,0.000000,48,89
Sample10,0.000000,33,162,0.000000,23,182,0.000000,51,92
